quartos,m2_quadrado,garagem,banheiros,direto com o proprietario,preço,cidade,bairro,link
3,239,1,2,0,R$ 260.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-240-m-em-frente-a-degepol-em-lagoa-nova-1287727263
4,180,2,2,0,R$ 229.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-da-esperanca-1211072532
2,180,NULL,1,0,R$ 230.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-da-esperanca-proxima-ao-detran-1243873571
3,160,2,4,0,R$ 295.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/belissima-casa-reformada-3-suites-160m2-perfeita-localizacao-bairro-pitimbu-1375103998
3,240,3,3,0,R$ 280.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/excelente-casa-3-quartos-sendo-2-suites-sombra-piscina-240m2-tima-localizacao-1375101846
2,90,2,2,0,R$ 280.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/aconchegante-casa-a-700m-da-praia-de-ponta-negra-1374989754
4,65,3,2,0,R$ 260.000,Natal, Nordeste,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-nordeste-natal-rn-1374845631
3,150,2,4,0,R$ 270.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/imovel-casa-venda-candelaria-oportunidade-metros-quadrados-com-3-quartos-em-candelaria-n-1374743497
2,69,NULL,1,0,R$ 170.000,Natal, Alecrim,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-no-alecrim-1374656949
3,210,1,1,0,R$ 230.000,Natal, Redinha,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-praia-da-redinha-ha-5-minutos-do-novo-mercado-e-pontos-turisticos-da-cidade-do-sol-1374580939
3,375,NULL,3,0,R$ 290.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-pitimbu-natal-rn-1374498746
2,NULL,1,1,1,R$ 150.000,Natal, Rocas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-venda-nas-rocas-1374429170
3,116,2,3,1,R$ 220.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-capim-macio-1374386341
4,175,1,3,1,R$ 290.000,Natal, Alecrim,https://rn.olx.com.br/rio-grande-do-norte/imoveis/oportunidade-no-alecrim-av-11-1374290570
4,124,3,3,0,R$ 210.000,Natal, Nova Descoberta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-em-natal-nova-descoberta-venda-ou-aluga-1374219440
5,152,2,2,0,R$ 230.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-estrutura-para-duas-residencias-a-venda-pajucara-zona-norte-de-natal-rn-1374146213
3,NULL,1,3,1,R$ 270.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-candelaria-c-3-qts-sdo-2-stes-1374115169
2,NULL,1,2,1,R$ 150.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vende-se-casa-em-pajucara-otima-localizacao-1374016302
2,74,1,1,0,R$ 255.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-duplex-com-2-quartos-sendo-1-suite-em-ponta-negra-natal-rn-1373994432
3,150000,1,2,0,R$ 170.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-em-capim-macio-ld0019-1357677494
2,NULL,2,2,1,R$ 180.000,Natal, Nossa Senhora de Nazaré,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-pra-vende-1373932437
3,66,2,2,0,R$ 193.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-em-capim-macio-res-serra-do-cabugi-i-3-quartos-cozinha-sala-e-banheiro-1241316123
4,200,1,2,1,R$ 240.000,Natal, Cidade Alta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-energia-solar-1373888534
3,286,3,2,0,R$ 264.000,Natal, Lagoa Nova,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-no-conjunto-gramore-1373874600
3,200,2,2,0,R$ 280.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-santarem-com-piscina-em-potengi-natal-rn-1373686907
3,NULL,1,3,1,R$ 150.000,Natal, Redinha,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-na-redinha-proximo-ao-caju-de-pedra-1373669783
3,86,NULL,2,0,R$ 175.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-no-pajucara-proximo-ao-expansivo-1373635960
3,113,1,2,0,R$ 182.000,Natal, Lagoa Nova,https://rn.olx.com.br/rio-grande-do-norte/imoveis/lagoa-nova-ah03-1357679628
3,81,2,1,0,R$ 250.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-no-condominio-fanville-1373437752
3,NULL,1,2,1,R$ 150.000,Natal, Nossa Senhora da Apresentação,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-ou-troco-casa-1373419555
2,NULL,5,2,1,R$ 220.000,Natal, Tirol,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-de-praia-1373403824
5,300,4,2,1,R$ 150.000,Natal, Felipe Camarão,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-piscina-em-felipe-camarao-1314821564
4,180,2,2,0,R$ 270.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-no-bairro-cidade-satelite-natal-rn-1373322767
3,160,2,4,0,R$ 295.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/venda-de-casa-no-pitimbu-perfeita-para-voce-1373318858
2,100,2,1,1,R$ 150.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/condominio-genipabu-a-ver-o-mar-1373277954
NULL,230,NULL,NULL,1,R$ 230.000,Natal, Nossa Senhora de Nazaré,https://rn.olx.com.br/rio-grande-do-norte/imoveis/predio-em-otima-localizacao-1373259882
3,110,3,2,0,R$ 245.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/imovel-casa-para-venda-com-3-quartos-1suite-em-cidade-satelite-pitimbu-natal-rn-1373239992
5,250,NULL,5,1,R$ 200.000,Natal, Cidade Alta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-cidade-alta-terreno-7x-14-1373221179
2,100,1,1,0,R$ 250.000,Natal, Lagoa Nova,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-2-dormitorios-a-venda-100-m-por-r-250-000-00-lagoa-nova-natal-rn-1373196511
3,360,3,1,1,R$ 215.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/excelente-oportunidade-no-satelite-com-otima-localizacao-1373187232
2,100,2,2,0,R$ 169.000,Natal, Igapó,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-igapo-natal-rn-1373170091
3,148,2,3,0,R$ 280.000,Natal, Nova Descoberta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-nova-descoberta-natal-rn-1373170063
3,120,2,1,0,R$ 300.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-condominio-lado-da-sombra-energia-solar-3-quartos-1-suite-e-closet-planalto-na-1373099537
5,NULL,3,4,1,R$ 300.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-venda-no-planalto-1373088369
2,200,1,1,0,R$ 185.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/adquira-sua-casa-dos-sonhos-no-planalto-1373049525
2,71,1,2,0,R$ 250.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/mf-casas-duplex-no-planalto-71m-2-4-2-banheiros-sociais-excelente-acabamento-1373008946
NULL,NULL,NULL,NULL,1,R$ 180.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-otima-localizacao-1372971279
2,65,1,1,0,R$ 195.000,Natal, Planalto,https://rn.olx.com.br/rio-grande-do-norte/imoveis/residencial-areias-do-planalto-1372952760
3,NULL,2,2,0,R$ 150.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-cod-rnf-33-1356157037
3,180,2,2,0,R$ 210.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-neopolis-cod-rn-10-1355838649
3,300,2,3,0,R$ 170.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-3-quarto-em-potengi-c-o-n-1329034304
2,200,2,2,0,R$ 160.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-2-quartos-em-potengi-c-o-n-1337223074
3,250,3,4,0,R$ 200.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-pitimbu-de-3-quartos-proximo-a-panificadora-sanvalle-co-n-1337150289
3,200,2,4,0,R$ 200.000,Natal, Barro Vermelho,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-3-quartos-em-barro-vermelho-c-o-n-1337236021
3,98,2,2,0,R$ 180.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-3-quartos-em-candelaria-c-o-n-1337285295
3,90,1,2,0,R$ 160.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-com-3-quartos-no-conj-soledade-c-o-n-1346438756
3,190,3,3,0,R$ 230.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-satelite-com-3-quartos-c-o-n-1346456233
3,170,2,3,0,R$ 170.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-c-o-n-1346675754
3,200,2,3,0,R$ 180.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-pitimbu-c-o-n-1347590357
4,220,2,3,0,R$ 200.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-con-1355352639
3,170,1,2,0,R$ 180.000,Natal, Nova Descoberta,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-nova-descoberta-con-1355512053
3,117,1,2,0,R$ 150.000,Natal, Alecrim,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-no-alecrim-de-3-4-con-1355896720
3,150,1,3,0,R$ 200.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-pitimbu-com-suite-con-1356201234
3,253,3,3,0,R$ 280.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-ponta-negra-venda-rapida-con-1356086414
3,161,1,3,0,R$ 210.000,Natal, Candelária,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-candelaria-con-1356184790
3,100,3,2,0,R$ 150.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-no-conj-santa-catarina-con-1356178645
2,50,1,1,1,R$ 180.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-terrea-com-portao-em-otima-localizacao-em-santa-cruz-do-inhare-1372898061
2,120,2,1,0,R$ 175.000,Natal, Potengi,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-no-potengi-proximo-a-itapetinga-1372889330
2,288,2,2,1,R$ 169.000,Natal, Igapó,https://rn.olx.com.br/rio-grande-do-norte/imoveis/vendo-casa-c-escritura-publica-1371123953
2,76,2,2,0,R$ 295.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-ponta-negra-1372732386
3,168,2,2,0,R$ 150.000,Natal, Ponta Negra,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-ponta-negra-brt0021-1350528252
3,150,3,2,1,R$ 150.000,Natal, Lagoa Azul,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-grande-com-3-quartos-no-conjunto-nova-natal-1372682491
2,NULL,1,2,1,R$ 235.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-pronta-para-morar-em-pajucara-1372674451
3,100,1,3,1,R$ 155.000,Natal, Pajuçara,https://rn.olx.com.br/rio-grande-do-norte/imoveis/2-casas-na-pompeia-1372655078
3,NULL,2,2,1,R$ 200.000,Natal, Pitimbu,https://rn.olx.com.br/rio-grande-do-norte/imoveis/otima-casa-em-macaiba-localidade-privilegiada-1372592566
4,242,NULL,3,0,R$ 290.000,Natal, Neópolis,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-com-242m-construidos-em-um-terreno-de-285m-e-localizacao-privilegiada-no-ba-1372572334
1,NULL,NULL,1,1,R$ 200.000,Natal, Dix-Sept Rosado,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-venda-em-otima-localizacao-1370793864
3,110,1,2,0,R$ 160.000,Natal, Cidade da Esperança,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-na-cidade-da-esperanca-pe27-1372493090
4,200000,3,2,1,R$ 260.000,Natal, Nordeste,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-aconchegante-1372487488
5,140,1,5,0,R$ 299.990,Natal, Lagoa Seca,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-a-venda-em-lagoa-seca-versatilidade-e-localizacao-estrategica-por-apenas-r-319-990-1372441734
3,200,2,2,0,R$ 235.000,Natal, Capim Macio,https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-capim-macio-cod-rnf-15-1372351025
